=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.10 12:30:16 =~=~=~=~=~=~=~=~=~=~=~=
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     53,  499,  493,    5,    1,   0.0100,  9.4151, 11.2868, -0.7709,  0.0461,  0.1287,
Q0     54,  511,  506,    5,    0,   0.0098,  9.4630, 11.3466, -0.7763,  0.0514,  0.1347,
Q0     55,  514,  509,    5,    0,   0.0097,  9.3455, 11.3698, -0.7776,  0.0384,  0.1370,
Q0     56,  520,  513,    5,    2,   0.0096,  9.2857, 11.3273, -0.7801,  0.0317,  0.1327,
Q0     57,  532,  520,    5,    7,   0.0094,  9.3333, 11.2351, -0.7851,  0.0370,  0.1235,
Q0     58,  544,  536,    5,    3,   0.0092,  9.3793, 11.3175, -0.7898,  0.0421,  0.1318,
Q0     59,  556,  549,    5,    2,   0.0090,  9.4237, 11.3791, -0.7944,  0.0471,  0.1379,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     60,  567,  562,    5,    0,   0.0088,  9.4500, 11.3982, -0.7984,  0.0500,  0.1398,
Q0     61,  581,  576,    5,    0,   0.0086,  9.5246, 11.5048, -0.8032,  0.0583,  0.1505,
Q0     62,  595,  587,    5,    3,   0.0084,  9.5968, 11.5161, -0.8078,  0.0663,  0.1516,
Q0     63,  603,  596,    5,    2,   0.0083,  9.5714, 11.4787, -0.8104,  0.0635,  0.1479,
Q0     64,  615,  605,    5,    5,   0.0081,  9.6094, 11.4076, -0.8141,  0.0677,  0.1408,
Q0     65,  623,  613,    5,    5,   0.0080,  9.5846, 11.3676, -0.8165,  0.0650,  0.1368,
Q0     66,  629,  624,    5,    0,   0.0079,  9.5303, 11.3887, -0.8182,  0.0589,  0.1389,
Q0     67,  640,  634,    5,    1,   0.0078,  9.5522, 11.4633, -0.8214,  0.0614,  0.1463,
Q0     68,  652,  646,    5,    1,   0.0077,  9.5882, 11.5257, -0.8246,  0.0654,  0.1526,
Q0     69,  665,  656,    5,    4,   0.0075,  9.6377, 11.4745, -0.8281,  0.0709,  0.1475,
Q0     70,  673,  664,    5,    4,   0.0074,  9.6143, 11.4421, -0.8301,  0.0683,  0.1442,
Q0     71,  684,  670,    5,    9,   0.0073,  9.6338, 11.3540, -0.8328,  0.0704,  0.1354,
Q0     72,  694,  685,    9,    0,   0.0130,  9.6389, 11.4212, -0.7035,  0.0710,  0.1421,
Q0     73,  701,  691,    9,    1,   0.0128,  9.6027, 11.3783, -0.7064,  0.0670,  0.1378,
Q0     74,  708,  699,    9,    0,   0.0127,  9.5676, 11.3550, -0.7093,  0.0631,  0.1355,
Q0     75,  716,  707,    9,    0,   0.0126,  9.5467, 11.4063, -0.7126,  0.0607,  0.1406,
Q0     76,  719,  710,    9,    0,   0.0125,  9.4605, 11.3944, -0.7138,  0.0512,  0.1394,
Q0     77,  730,  719,    9,    2,   0.0123,  9.4805, 11.3886, -0.7181,  0.0534,  0.1389,
Q0     78,  737,  727,    9,    1,   0.0122,  9.4487, 11.3253, -0.7208,  0.0499,  0.1325,
Q0     79,  750,  740,    9,    1,   0.0120,  9.4937, 11.3688, -0.7256,  0.0549,  0.1369,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     80,  762,  752,    9,    1,   0.0118,  9.5250, 11.3757, -0.7299,  0.0583,  0.1376,
Q0     81,  772,  762,    9,    1,   0.0117,  9.5309, 11.3498, -0.7334,  0.0590,  0.1350,
Q0     82,  780,  771,    9,    0,   0.0115,  9.5122, 11.3669, -0.7362,  0.0569,  0.1367,
Q0     83,  789,  778,    9,    2,   0.0114,  9.5060, 11.3431, -0.7392,  0.0562,  0.1343,
Q0     84,  799,  787,    9,    3,   0.0113,  9.5119, 11.3104, -0.7424,  0.0569,  0.1310,
Q0     85,  806,  796,    9,    1,   0.0112,  9.4824, 11.2713, -0.7447,  0.0536,  0.1271,
Q0     86,  815,  800,    9,    6,   0.0110,  9.4767, 11.2203, -0.7475,  0.0530,  0.1220,
Q0     87,  827,  812,    9,    6,   0.0109,  9.5057, 11.2123, -0.7512,  0.0562,  0.1212,
Q0     88,  834,  815,    9,   10,   0.0108,  9.4773, 11.1189, -0.7532,  0.0530,  0.1119,
Q0     89,  844,  826,   12,    6,   0.0142,  9.4831, 11.1176, -0.6749,  0.0537,  0.1118,
Q0     90,  851,  830,   12,    9,   0.0141,  9.4556, 11.0190, -0.6776,  0.0506,  0.1019,
Q0     91,  859,  841,   12,    6,   0.0140,  9.4396, 11.0114, -0.6806,  0.0488,  0.1011,
Q0     92,  870,  846,   14,   10,   0.0161,  9.4565, 10.9234, -0.6320,  0.0507,  0.0923,
Q0     93,  874,  855,   15,    4,   0.0172,  9.3978, 10.9200, -0.6076,  0.0442,  0.0920,
Q0     94,  889,  873,   15,    1,   0.0169,  9.4574, 10.9789, -0.6142,  0.0508,  0.0979,
Q0     95,  896,  881,   15,    0,   0.0167,  9.4316, 10.9838, -0.6172,  0.0480,  0.0984,
Q0     96,  903,  888,   15,    0,   0.0166,  9.4063, 10.9429, -0.6202,  0.0451,  0.0943,
Q0     97,  910,  895,   15,    0,   0.0165,  9.3814, 10.9729, -0.6231,  0.0424,  0.0973,
Q0     98,  919,  904,   15,    0,   0.0163,  9.3776, 11.0420, -0.6268,  0.0420,  0.1042,
Q0     99,  930,  912,   15,    3,   0.0161,  9.3939, 10.9915, -0.6312,  0.0438,  0.0992,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    100,  943,  926,   15,    2,   0.0159,  9.4300, 11.0345, -0.6363,  0.0478,  0.1035,
Q0    101,  948,  933,   15,    0,   0.0158,  9.3861, 11.0097, -0.6382,  0.0429,  0.1010,
Q0    102,  953,  938,   15,    0,   0.0157,  9.3431, 11.0303, -0.6401,  0.0381,  0.1030,
Q0    103,  961,  946,   15,    0,   0.0156,  9.3301, 11.0806, -0.6431,  0.0367,  0.1081,
Q0    104,  971,  954,   15,    2,   0.0154,  9.3365, 11.0798, -0.6468,  0.0374,  0.1080,
Q0    105,  980,  962,   15,    3,   0.0153,  9.3333, 11.0393, -0.6500,  0.0370,  0.1039,
Q0    106,  987,  972,   15,    0,   0.0152,  9.3113, 11.0803, -0.6525,  0.0346,  0.1080,
Q0    107,  995,  980,   15,    0,   0.0151,  9.2991, 11.1109, -0.6553,  0.0332,  0.1111,
Q0    108, 1006,  987,   15,    4,   0.0149,  9.3148, 11.0879, -0.6591,  0.0350,  0.1088,
Q0    109, 1016,  996,   15,    5,   0.0148,  9.3211, 11.0194, -0.6624,  0.0357,  0.1019,
Q0    110, 1021, 1006,   15,    0,   0.0147,  9.2818, 11.0724, -0.6641,  0.0313,  0.1072,
Q0    111, 1031, 1016,   15,    0,   0.0145,  9.2883, 11.1075, -0.6673,  0.0320,  0.1108,
Q0    112, 1043, 1028,   15,    0,   0.0144,  9.3125, 11.1328, -0.6711,  0.0347,  0.1133,
Q0    113, 1052, 1037,   15,    0,   0.0143,  9.3097, 11.1566, -0.6740,  0.0344,  0.1157,
Q0    114, 1062, 1046,   15,    1,   0.0141,  9.3158, 11.1629, -0.6770,  0.0351,  0.1163,
Q0    115, 1079, 1059,   15,    5,   0.0139,  9.3826, 11.1883, -0.6821,  0.0425,  0.1188,
Q0    116, 1090, 1068,   15,    7,   0.0138,  9.3966, 11.1707, -0.6853,  0.0441,  0.1171,
Q0    117, 1097, 1076,   15,    6,   0.0137,  9.3761, 11.1087, -0.6873,  0.0418,  0.1109,
Q0    118, 1106, 1086,   15,    5,   0.0136,  9.3729, 11.1016, -0.6899,  0.0414,  0.1102,
Q0    119, 1113, 1097,   15,    1,   0.0135,  9.3529, 11.1127, -0.6918,  0.0392,  0.1113,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0    120, 1120, 1102,   15,    3,   0.0134,  9.3417, 11.1204, -0.6940,  0.0380,  0.1120,
Q0    121, 1131, 1112,   15,    4,   0.0133,  9.3471, 11.1090, -0.6967,  0.0386,  0.1109,
Q0    122, 1143, 1124,   15,    4,   0.0131,  9.3689, 11.0883, -0.6999,  0.0410,  0.1088,
Q0    123, 1150, 1128,   15,    7,   0.0130,  9.3496, 11.0351, -0.7017,  0.0388,  0.1035,
Q0    124, 1154, 1137,   15,    2,   0.0130,  9.3065, 11.0152, -0.7028,  0.0341,  0.1015,
Q0    125, 1165, 1149,   15,    1,   0.0129,  9.3200, 11.0387, -0.7056,  0.0356,  0.1039,
Q0    126, 1172, 1157,   15,    0,   0.0128,  9.3016, 11.0588, -0.7073,  0.0335,  0.1059,
