=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.10 12:48:42 =~=~=~=~=~=~=~=~=~=~=~=
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0      0,    1,    1,    0,    1,   0.0000,  0.0000,  7.8833, -1.0000, -1.0000, -0.2117,
Q1      0,    1,    1,    0,    0,   0.0000,  0.0000,  8.0572, -1.0000, -1.0000, -0.1943,
Q0      1,   13,    8,    0,    5,   0.0000, 13.0000,  8.0964, -1.0000,  0.4444, -0.1904,
Q1      1,   15,    9,    0,    6,   0.0000, 15.0000,  9.4806, -1.0000,  0.6667, -0.0519,
Q0      2,   22,   20,    0,    2,   0.0000, 11.0000,  9.4690, -1.0000,  0.2222, -0.0531,
Q1      2,   26,   18,    0,    8,   0.0000, 13.0000,  9.6895, -1.0000,  0.4444, -0.0311,
Q0      3,   34,   32,    0,    2,   0.0000, 11.3333, 10.2883, -1.0000,  0.2593,  0.0288,
Q1      3,   36,   32,    0,    4,   0.0000, 12.0000, 10.4184, -1.0000,  0.3333,  0.0418,
Q0      4,   42,   42,    0,    0,   0.0000, 10.5000, 10.7394, -1.0000,  0.1667,  0.0739,
Q1      4,   49,   44,    0,    5,   0.0000, 12.2500, 11.4725, -1.0000,  0.3611,  0.1472,
Q0      5,   48,   48,    0,    0,   0.0000,  9.6000, 10.7945, -1.0000,  0.0667,  0.0795,
Q1      5,   56,   56,    0,    0,   0.0000, 11.2000, 11.4476, -1.0000,  0.2444,  0.1448,
Q0      6,   61,   58,    0,    3,   0.0000, 10.1667, 11.1880, -1.0000,  0.1296,  0.1188,
Q1      6,   67,   64,    0,    3,   0.0000, 11.1667, 11.2274, -1.0000,  0.2407,  0.1227,
Q0      7,   74,   66,    0,    8,   0.0000, 10.5714, 10.5270, -1.0000,  0.1746,  0.0527,
Q1      7,   74,   74,    0,    0,   0.0000, 10.5714, 11.5082, -1.0000,  0.1746,  0.1508,
Q0      8,   86,   74,    2,   10,   0.0233, 10.7500, 10.1691, -0.4682,  0.1944,  0.0169,
Q1      8,   81,   81,    0,    0,   0.0000, 10.1250, 11.5603, -1.0000,  0.1250,  0.1560,
Q0      9,   96,   83,    5,    8,   0.0521, 10.6667, 10.0772,  0.1910,  0.1852,  0.0077,
Q1      9,   87,   87,    0,    0,   0.0000,  9.6667, 11.2621, -1.0000,  0.0741,  0.1262,
Q0     10,  103,   95,    5,    3,   0.0485, 10.3000,  9.9888,  0.1100,  0.1444, -0.0011,
Q1     10,   94,   94,    0,    0,   0.0000,  9.4000, 11.4791, -1.0000,  0.0444,  0.1479,
Q0     11,  113,  102,    5,    6,   0.0442, 10.2727,  9.9432,  0.0118,  0.1414, -0.0057,
Q1     11,  100,  100,    0,    0,   0.0000,  9.0909, 11.6678, -1.0000,  0.0101,  0.1668,
Q0     12,  118,  112,    5,    1,   0.0424,  9.8333, 10.0306, -0.0311,  0.0926,  0.0031,
Q1     12,  108,  107,    0,    1,   0.0000,  9.0000, 11.9381, -1.0000,  0.0000,  0.1938,
Q0     13,  130,  125,    5,    0,   0.0385, 10.0000, 10.3771, -0.1205,  0.1111,  0.0377,
Q1     13,  121,  117,    0,    4,   0.0000,  9.3077, 11.8705, -1.0000,  0.0342,  0.1871,
Q0     14,  142,  137,    5,    0,   0.0352, 10.1429, 10.9301, -0.1948,  0.1270,  0.0930,
Q1     14,  132,  126,    0,    6,   0.0000,  9.4286, 11.4608, -1.0000,  0.0476,  0.1461,
Q0     15,  152,  147,    5,    0,   0.0329, 10.1333, 11.2202, -0.2478,  0.1259,  0.1220,
Q1     15,  148,  137,    6,    5,   0.0405,  9.8667, 11.5522, -0.0730,  0.0963,  0.1552,
Q0     16,  161,  156,    5,    0,   0.0311, 10.0625, 11.3272, -0.2899,  0.1181,  0.1327,
Q1     16,  164,  151,    6,    7,   0.0366, 10.2500, 11.4808, -0.1634,  0.1389,  0.1481,
Q0     17,  168,  161,    5,    2,   0.0298,  9.8824, 11.0387, -0.3195,  0.0980,  0.1039,
Q1     17,  179,  161,    9,    8,   0.0503, 10.5294, 11.6405,  0.1497,  0.1699,  0.1640,
Q0     18,  178,  171,    5,    2,   0.0281,  9.8889, 10.9272, -0.3577,  0.0988,  0.0927,
Q1     18,  184,  174,    9,    1,   0.0489, 10.2222, 11.6479,  0.1185,  0.1358,  0.1648,
Q0     19,  187,  180,    5,    2,   0.0267,  9.8421, 10.8630, -0.3886,  0.0936,  0.0863,
Q1     19,  191,  182,    9,    0,   0.0471, 10.0526, 11.6772,  0.0775,  0.1170,  0.1677,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     20,  196,  191,    5,    0,   0.0255,  9.8000, 11.1048, -0.4167,  0.0889,  0.1105,
Q1     20,  198,  186,    9,    3,   0.0455,  9.9000, 11.6833,  0.0394,  0.1000,  0.1683,
Q0     21,  206,  196,    5,    5,   0.0243,  9.8095, 10.8518, -0.4450,  0.0899,  0.0852,
Q1     21,  206,  193,    9,    4,   0.0437,  9.8095, 11.4504, -0.0010,  0.0899,  0.1450,
Q0     22,  219,  205,    5,    9,   0.0228,  9.9545, 10.7552, -0.4779,  0.1061,  0.0755,
Q1     22,  216,  203,    9,    4,   0.0417,  9.8182, 11.3879, -0.0472,  0.0909,  0.1388,
Q0     23,  232,  219,    8,    5,   0.0345, 10.0870, 10.9179, -0.2115,  0.1208,  0.0918,
Q1     23,  226,  215,    9,    2,   0.0398,  9.8261, 11.3348, -0.0894,  0.0918,  0.1335,
Q0     24,  235,  227,    8,    0,   0.0340,  9.7917, 11.0217, -0.2216,  0.0880,  0.1022,
Q1     24,  233,  222,    9,    2,   0.0386,  9.7083, 11.2005, -0.1167,  0.0787,  0.1200,
Q0     25,  247,  235,    8,    4,   0.0324,  9.8800, 10.9751, -0.2594,  0.0978,  0.0975,
Q1     25,  240,  230,    9,    1,   0.0375,  9.6000, 11.0842, -0.1425,  0.0667,  0.1084,
Q0     26,  259,  246,    8,    5,   0.0309,  9.9615, 10.9644, -0.2937,  0.1068,  0.0964,
Q1     26,  252,  236,    9,    7,   0.0357,  9.6923, 10.7605, -0.1833,  0.0769,  0.0761,
Q0     27,  269,  260,    8,    1,   0.0297,  9.9630, 11.0682, -0.3200,  0.1070,  0.1068,
Q1     27,  258,  245,    9,    4,   0.0349,  9.5556, 10.7356, -0.2023,  0.0617,  0.0736,
Q0     28,  274,  266,    8,    0,   0.0292,  9.7857, 11.0592, -0.3324,  0.0873,  0.1059,
Q1     28,  272,  256,    9,    7,   0.0331,  9.7143, 10.7482, -0.2434,  0.0794,  0.0748,
Q0     29,  283,  275,    8,    0,   0.0283,  9.7586, 11.1959, -0.3536,  0.0843,  0.1196,
Q1     29,  284,  272,    9,    3,   0.0317,  9.7931, 10.9770, -0.2754,  0.0881,  0.0977,
Q0     30,  294,  286,    8,    0,   0.0272,  9.8000, 11.3038, -0.3778,  0.0889,  0.1304,
Q1     30,  300,  284,    9,    7,   0.0300, 10.0000, 10.9952, -0.3140,  0.1111,  0.0995,
Q0     31,  310,  295,    8,    7,   0.0258, 10.0000, 11.2100, -0.4099,  0.1111,  0.1210,
Q1     31,  306,  297,    9,    0,   0.0294,  9.8710, 11.1237, -0.3275,  0.0968,  0.1124,
Q0     32,  318,  303,    8,    7,   0.0252,  9.9375, 11.0662, -0.4247,  0.1042,  0.1066,
Q1     32,  316,  306,    9,    1,   0.0285,  9.8750, 11.0593, -0.3487,  0.0972,  0.1059,
Q0     33,  327,  319,    8,    0,   0.0245,  9.9091, 11.2586, -0.4406,  0.1010,  0.1259,
Q1     33,  329,  316,    9,    4,   0.0274,  9.9697, 11.0106, -0.3745,  0.1077,  0.1011,
Q0     34,  338,  329,    8,    1,   0.0237,  9.9412, 11.3053, -0.4588,  0.1046,  0.1305,
Q1     34,  339,  327,    9,    3,   0.0265,  9.9706, 11.0152, -0.3929,  0.1078,  0.1015,
Q0     35,  346,  335,    8,    3,   0.0231,  9.8857, 11.3576, -0.4713,  0.0984,  0.1358,
Q1     35,  350,  336,    9,    5,   0.0257, 10.0000, 10.9649, -0.4120,  0.1111,  0.0965,
Q0     36,  355,  344,    8,    3,   0.0225,  9.8611, 11.2705, -0.4847,  0.0957,  0.1271,
Q1     36,  358,  343,    9,    6,   0.0251,  9.9444, 10.8087, -0.4251,  0.1049,  0.0809,
Q0     37,  369,  355,    8,    6,   0.0217,  9.9730, 11.2472, -0.5043,  0.1081,  0.1247,
Q1     37,  363,  354,    9,    0,   0.0248,  9.8108, 10.8346, -0.4331,  0.0901,  0.0835,
Q0     38,  377,  365,    8,    4,   0.0212,  9.9211, 11.1973, -0.5148,  0.1023,  0.1197,
Q1     38,  373,  363,    9,    1,   0.0241,  9.8158, 10.8102, -0.4483,  0.0906,  0.0810,
Q0     39,  386,  378,    8,    0,   0.0207,  9.8974, 11.3362, -0.5261,  0.0997,  0.1336,
Q1     39,  384,  373,    9,    2,   0.0234,  9.8462, 10.7789, -0.4641,  0.0940,  0.0779,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     40,  394,  386,    8,    0,   0.0203,  9.8500, 11.3112, -0.5357,  0.0944,  0.1311,
Q1     40,  394,  385,    9,    0,   0.0228,  9.8500, 10.8501, -0.4777,  0.0944,  0.0850,
Q0     41,  402,  394,    8,    0,   0.0199,  9.8049, 11.2917, -0.5449,  0.0894,  0.1292,
Q1     41,  405,  389,    9,    7,   0.0222,  9.8780, 10.7902, -0.4919,  0.0976,  0.0790,
Q0     42,  406,  398,    8,    0,   0.0197,  9.6667, 11.3280, -0.5494,  0.0741,  0.1328,
Q1     42,  410,  401,    9,    0,   0.0220,  9.7619, 10.8050, -0.4981,  0.0847,  0.0805,
Q0     43,  415,  407,    8,    0,   0.0193,  9.6512, 11.2636, -0.5592,  0.0724,  0.1264,
Q1     43,  417,  408,    9,    0,   0.0216,  9.6977, 10.8307, -0.5065,  0.0775,  0.0831,
Q0     44,  423,  411,    8,    4,   0.0189,  9.6136, 11.1800, -0.5675,  0.0682,  0.1180,
Q1     44,  425,  416,    9,    0,   0.0212,  9.6591, 10.8423, -0.5158,  0.0732,  0.0842,
Q0     45,  430,  420,    8,    2,   0.0186,  9.5556, 11.1385, -0.5746,  0.0617,  0.1139,
Q1     45,  432,  421,    9,    2,   0.0208,  9.6000, 10.7412, -0.5236,  0.0667,  0.0741,
Q0     46,  440,  426,    8,    6,   0.0182,  9.5652, 11.0109, -0.5842,  0.0628,  0.1011,
Q1     46,  438,  427,    9,    2,   0.0205,  9.5217, 10.6615, -0.5301,  0.0580,  0.0661,
Q0     47,  455,  435,   13,    7,   0.0286,  9.6809, 10.9324, -0.3467,  0.0757,  0.0932,
Q1     47,  450,  439,    9,    2,   0.0200,  9.5745, 10.7404, -0.5427,  0.0638,  0.0740,
Q0     48,  467,  446,   13,    8,   0.0278,  9.7292, 10.9161, -0.3635,  0.0810,  0.0916,
Q1     48,  458,  448,    9,    1,   0.0197,  9.5417, 10.6690, -0.5507,  0.0602,  0.0669,
Q0     49,  477,  460,   14,    3,   0.0294,  9.7347, 11.0177, -0.3289,  0.0816,  0.1018,
Q1     49,  467,  458,    9,    0,   0.0193,  9.5306, 10.7332, -0.5593,  0.0590,  0.0733,
Q0     50,  481,  467,   14,    0,   0.0291,  9.6200, 10.9822, -0.3345,  0.0689,  0.0982,
Q1     50,  477,  468,    9,    0,   0.0189,  9.5400, 10.7072, -0.5686,  0.0600,  0.0707,
Q0     51,  494,  475,   14,    5,   0.0283,  9.6863, 10.9265, -0.3520,  0.0763,  0.0926,
Q1     51,  489,  476,    9,    4,   0.0184,  9.5882, 10.6742, -0.5791,  0.0654,  0.0674,
Q0     52,  503,  488,   14,    1,   0.0278,  9.6731, 11.0244, -0.3636,  0.0748,  0.1024,
Q1     52,  493,  484,    9,    0,   0.0183,  9.4808, 10.7351, -0.5826,  0.0534,  0.0735,
Q0     53,  509,  494,   14,    1,   0.0275,  9.6038, 11.0059, -0.3711,  0.0671,  0.1006,
Q1     53,  501,  492,    9,    0,   0.0180,  9.4528, 10.8310, -0.5892,  0.0503,  0.0831,
Q0     54,  520,  506,   14,    0,   0.0269,  9.6296, 11.0082, -0.3844,  0.0700,  0.1008,
Q1     54,  510,  497,    9,    4,   0.0176,  9.4444, 10.7686, -0.5965,  0.0494,  0.0769,
Q0     55,  532,  515,   14,    3,   0.0263,  9.6727, 11.0302, -0.3983,  0.0747,  0.1030,
Q1     55,  518,  509,    9,    0,   0.0174,  9.4182, 10.8654, -0.6027,  0.0465,  0.0865,
Q0     56,  542,  526,   14,    2,   0.0258,  9.6786, 11.0295, -0.4094,  0.0754,  0.1029,
Q1     56,  529,  520,    9,    0,   0.0170,  9.4464, 10.9624, -0.6110,  0.0496,  0.0962,
Q0     57,  553,  536,   14,    3,   0.0253,  9.7018, 10.9697, -0.4211,  0.0780,  0.0970,
Q1     57,  543,  531,    9,    3,   0.0166,  9.5263, 10.9999, -0.6210,  0.0585,  0.1000,
Q0     58,  560,  543,   14,    3,   0.0250,  9.6552, 10.9111, -0.4283,  0.0728,  0.0911,
Q1     58,  555,  537,    9,    9,   0.0162,  9.5690, 10.9141, -0.6292,  0.0632,  0.0914,
Q0     59,  570,  554,   14,    2,   0.0246,  9.6610, 10.9090, -0.4384,  0.0734,  0.0909,
Q1     59,  560,  550,   10,    0,   0.0179,  9.4915, 10.9700, -0.5917,  0.0546,  0.0970,
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0     60,  575,  561,   14,    0,   0.0243,  9.5833, 10.8879, -0.4433,  0.0648,  0.0888,
Q1     60,  577,  560,   10,    7,   0.0173,  9.6167, 10.9298, -0.6037,  0.0685,  0.0930,
Q0     61,  579,  565,   14,    0,   0.0242,  9.4918, 10.9301, -0.4471,  0.0546,  0.0930,
Q1     61,  580,  567,   10,    3,   0.0172,  9.5082, 10.8638, -0.6058,  0.0565,  0.0864,
Q0     62,  588,  573,   14,    0,   0.0238,  9.4839, 10.9785, -0.4556,  0.0538,  0.0979,
Q1     62,  590,  576,   10,    4,   0.0169,  9.5161, 10.8429, -0.6124,  0.0573,  0.0843,
Q0     63,  596,  582,   14,    0,   0.0235,  9.4603, 10.9965, -0.4629,  0.0511,  0.0997,
Q1     63,  597,  583,   10,    4,   0.0168,  9.4762, 10.7425, -0.6170,  0.0529,  0.0743,
Q0     64,  609,  595,   14,    0,   0.0230,  9.5156, 11.0562, -0.4743,  0.0573,  0.1056,
Q1     64,  602,  590,   10,    2,   0.0166,  9.4063, 10.6862, -0.6202,  0.0451,  0.0686,
Q0     65,  615,  601,   14,    0,   0.0228,  9.4615, 11.1106, -0.4795,  0.0513,  0.1111,
Q1     65,  611,  596,   10,    5,   0.0164,  9.4000, 10.6049, -0.6258,  0.0444,  0.0605,
Q0     66,  625,  611,   14,    0,   0.0224,  9.4697, 11.0933, -0.4878,  0.0522,  0.1093,
Q1     66,  620,  604,   10,    6,   0.0161,  9.3939, 10.5558, -0.6312,  0.0438,  0.0556,
Q0     67,  635,  618,   14,    3,   0.0220,  9.4776, 11.0199, -0.4959,  0.0531,  0.1020,
Q1     67,  622,  612,   10,    0,   0.0161,  9.2836, 10.5746, -0.6324,  0.0315,  0.0575,
Q0     68,  650,  622,   19,    9,   0.0292,  9.5588, 10.9339, -0.3316,  0.0621,  0.0934,
Q1     68,  630,  620,   10,    0,   0.0159,  9.2794, 10.6230, -0.6370,  0.0310,  0.0623,
Q0     69,  659,  636,   19,    4,   0.0288,  9.5507, 10.9856, -0.3407,  0.0612,  0.0986,
Q1     69,  646,  632,   10,    4,   0.0155,  9.3623, 10.6682, -0.6460,  0.0403,  0.0668,
Q0     70,  666,  643,   19,    4,   0.0285,  9.5143, 10.9148, -0.3477,  0.0571,  0.0915,
Q1     70,  652,  642,   10,    0,   0.0153,  9.3143, 10.6860, -0.6493,  0.0349,  0.0686,
Q0     71,  678,  657,   19,    2,   0.0280,  9.5493, 10.9434, -0.3592,  0.0610,  0.0943,
Q1     71,  658,  648,   10,    0,   0.0152,  9.2676, 10.7135, -0.6525,  0.0297,  0.0714,
Q0     72,  693,  668,   19,    6,   0.0274,  9.6250, 10.9266, -0.3731,  0.0694,  0.0927,
Q1     72,  666,  656,   10,    0,   0.0150,  9.2500, 10.7797, -0.6567,  0.0278,  0.0780,
Q0     73,  703,  678,   19,    6,   0.0270,  9.6301, 10.9307, -0.3820,  0.0700,  0.0931,
Q1     73,  676,  666,   10,    0,   0.0148,  9.2603, 10.8492, -0.6617,  0.0289,  0.0849,
Q0     74,  715,  691,   19,    5,   0.0266,  9.6622, 10.9734, -0.3924,  0.0736,  0.0973,
Q1     74,  693,  680,   10,    3,   0.0144,  9.3649, 10.8692, -0.6700,  0.0405,  0.0869,
Q0     75,  727,  697,   20,   10,   0.0275,  9.6933, 10.8937, -0.3709,  0.0770,  0.0894,
Q1     75,  707,  690,   11,    6,   0.0156,  9.4267, 10.9116, -0.6442,  0.0474,  0.0912,
Q0     76,  735,  710,   22,    3,   0.0299,  9.6711, 10.8969, -0.3156,  0.0746,  0.0897,
Q1     76,  717,  702,   11,    4,   0.0153,  9.4342, 10.9039, -0.6492,  0.0482,  0.0904,
Q0     77,  746,  724,   22,    0,   0.0295,  9.6883, 10.9919, -0.3257,  0.0765,  0.0992,
Q1     77,  730,  714,   11,    5,   0.0151,  9.4805, 10.9177, -0.6554,  0.0534,  0.0918,
